batch,index,music,hashtag,author,likes,comments,shares,saves
4,18,оригинальный звук - мне,"nik_bts_%D0%BB%D1%83%D1%87%D1%88%D0%B8%D0%B9, nik_bts, blackpink, bts, twice, itzy, straykids",parknk_,117500,599,14400,1076
4,20,Lovin On Me - Jack Harlow,"@perri.kiely, @warrenrussell, couple, dance, trend, viral, challenge, isabellafro",isabell.afro,162500,1082,8077,417
4,21,オリジナル楽曲 - Lynja,,cookingwithlynja,4700000,118300,359300,14500
4,22,original sound - Camilla Araujo,,itscamillaara,25400,105,1944,38
4,23,original sound - Finzy,"fyp, fortnite, gaming",finzys,438700,7637,37200,24300
4,24,original sound - Barstool Sports,@barstoolu,barstoolsports,13900,82,799,29
5,0,original sound - NotSleepy,"anime, animes, gojo, demonslayer, challenge, animetiktok, animefyp",realnotsleepy,5167,65,736,24
5,2,original sound - Sara Hesri,"boyfriend, girlfriend, funnyvideos, arab, arabtiktok, couplecomedy, foryou",sarahesri,83800,284,5371,664
5,5,original sound - nelly.nd,,nelly.nd,1828,53,323,24
5,6,MISS JENNIE SLAY - Paulo Emeterio,"fyp, funny, blackpink, jennie, lisa, jisoo, rose",abbysaltzmaniscute,5177,390,710,10
5,7,Set fire to the rain - Spotifyspedup66,"foryou, foryoupage, jamescorden, carpoolkaraoke, iconic, goviral, trending, celebs, fyp%E3%82%B7",imebboh,72800,469,10800,267
5,9,original sound - KEEMOKAZI,,keemokazi,198000,1230,12500,311
5,13,"Horror, Fear, Mystery, Suspense, Criminal, Terror, Halloween, Movie, Soundtrack, OST, TV Game, Creepy(1323087) - SAKUMAMATATA","mystery, theory, horror, jumpersjump, horrorstory",horroriginz,71000,420,7641,150200
5,14,original sound - eirlys.nad,,eirlys.nad,5210,12,610,37
5,18,son original - Power rangers france,"powerrangers, foryou, fyp, powerrangerssupermegforce, edit, pourtoi",alexandrecaballe6,20700,100,3282,163
5,20,original sound - KEEMOKAZI,,keemokazi,279000,562,18500,259
5,21,yummy x righteous - LOLA ⭑,"fortnite, fortniteclips, love, funny, edit, fyp",williamlegends,44100,1502,5957,913
5,22,original sound - kate baker,"@lauranowlin1984, @sourcebooksfire",katemaries,99300,386,10400,264
5,24,son original - Theo Landji Fly Boyz,,theo_landji,379800,1602,24400,3622
5,26,original sound - Lala,"mom, relatable, foryou, europe",lala_sadii,143300,1779,9303,149
5,28,nhạc nền - Best of The Voice,"thevoice, thevoiceglobal",sakurascoop,61000,538,6062,523
5,29,meme sound - 🔥Jaytzybreezy🔥,"tall, family",marietemara4.0,2166,181,142,13
1,0,original sound - Juned Fitness,"junedfitness1, fitnesslover, fitness, bodybuilding, gym, gymlover, viral, viralvideo, fouryou, trending, trend, fouyoupage",junedfitness1,54700,102,16000,2241
1,1,One Of The Girls - The Weeknd & JENNIE & Lily Rose Depp,"paratiii, viralvideo, fyp, paratipage, puertorico, viral, alondrissaclipstwitch, alondrissa, fypage, fyp%E3%82%B7%E3%82%9Aviral, paratii, parati, viraltiktok",mimiprouu,77300,182,8127,237
1,2,Taste - Tyga,,norton.westlin,1800000,7059,117800,11600
1,3,original sound - Jack Doherty,"@imbabykait, jackdoherty",jackdoherty,11900,92,656,12
1,6,som original - Divine Sanctuary ✝️,"powerfulprayer, divinesanctuary, blessings, prayersneeded, messagefromgod, messagefromtheuniverse",divineesanctuary,121200,28000,17200,21700
1,7,looksmaxxing - ayko,"fyp, foryou, veterinary, mewing, parati",itzy.malfoy22,3100000,36400,292800,103400
1,10,Dramatic Military - Faid rafanda,"scary, ghost, horror, mystery, fyp, viralvideo, paranormal, trending, viraltiktok, trend, viral, fpy",betausa89,2612,39,170,100
1,11,never slowed - slowedaudios🖤🤍,"incredible, island, interesting",this.our.planet,1400000,21700,113000,37200
2,0,original sound - unknownuser,,youfoundhae,17600,1324,1284,104
2,1,original sound - markadams1725,"fyp, funny, trending, goviral, fypppppppp",markadams1725,1019,2,140,7
2,5,original sound - Medazelli Automatic ☔️,,medazelli.automatic,103000,284,14700,1287
2,10,original sound - Tahini’s,,tahinisrestaurants,301700,3180,29200,6240
2,12,original sound - Jack Doherty,"jackdoherty, cookie",jackdoherty,27200,1250,1900,52
2,15,Creepy simple horror ambient(1270589) - howlingindicator,"facts, randomfacts, learnontiktok, curiosity, satisfying, satisfyingvideos",curiousanonymous,1033,98,109,894
2,17,original sound - Happs Collective,"happscollective, nike, sneakers, jordans, hypebeast, footlocker, wholesome, fyp",happscollective,29700,133,1475,29
2,18,Silence - Lang/Saturn [⭐️] ∙ Friends,"fyp, foryoupage, edit, teentitansgo, cartoon, cartoons, anime, 4k",god.edits,461500,3731,77100,2849
2,23,original sound - jelijahdiaz,"piano, pianoevolution, musicalgenius, youngmusician, youngtalent, giftedkids, talentedkids, prodigy, musickid, kidsgottalent, talentedmusicians, youngpianist, musickid, pianoskills, pianoplayer, pianist, musician, jelijah, jelijahdiaz",jelijahdiaz,290000,3947,23000,5126
2,24,Dj Industrial Baby Slow Menggahar - HRSDN,"musculation, exercicesfitness, arm, bigarms, fitness",5minutesfitnesssport,91200,193,34500,11800
3,0,original sound - Ali Tahinis,,alitahinis,28700,148,2225,47
3,1,Silencio Por 4 Minutos - Adolf Alois891,"putafingerdown, ywshow, foryou",ywshow,1440,804,214,1117
3,3,In The Stars Benson Boone Sped Up - Stan :),"iceskating, freestyleiceskating, fyp, foryou, iceskatingtiktok, freestyle, viral, makethisviral, makethisblowup, pov, booktok",ricky.dyd,40500,19900,5050,487
3,4,Dark Horse(抖音版) - 宸荨,"drama, dramachina, chinesedrama, yanazzes, fyp",kawaifan01,39700,86,4335,69
3,5,original sound - ypk.raye,"vktryathlete, @teamvktry",ypk.raye,13200,63,980,19
3,7,original sound - Stan Browney,,stanbrowney,9782,49,282,2
